V1,V2,V3
173.82100000000003,418.276,378.698
176.329,394.256,403.09799999999996
167.69100000000003,383.123,390.40999999999997
169.549,403.878,383.578
165.469,384.59400000000005,393.33799999999997
170.489,372.40799999999996,360.154
168.18200000000002,397.194,421.642
175.09199999999998,404.612,429.45
173.902,406.844,396.26599999999996
174.445,408.47999999999996,362.106
170.62,397.531,382.602
176.191,420.667,393.33799999999997
169.532,398.799,407.00199999999995
173.305,401.085,382.602
153.88400000000001,392.282,365.034
174.613,398.381,372.842
173.86100000000002,417.457,407.00199999999995
180.002,410.58,426.522
175.741,394.048,421.642
166.46300000000002,424.667,397.24199999999996
182.14800000000002,436.986,408.95399999999995
169.33100000000002,379.038,410.90599999999995
167.422,390.778,421.642
175.786,424.639,407.97799999999995
169.269,402.426,373.818
162.35500000000002,382.749,360.154
175.799,396.35900000000004,403.09799999999996
160.594,389.11,384.554
158.891,356.293,411.882
171.17700000000002,428.727,405.04999999999995
167.877,401.46900000000005,395.28999999999996
163.70100000000002,410.977,377.722
174.72400000000002,412.15999999999997,388.45799999999997
161.863,378.055,414.81
187.89700000000002,443.416,418.714
191.26800000000003,410.784,417.738
171.49,391.102,400.16999999999996
151.987,360.34499999999997,378.698
171.719,411.23299999999995,390.40999999999997
168.39600000000002,411.376,377.722
184.87,420.238,426.522
174.784,398.262,437.258
165.925,383.587,366.986
174.905,401.11199999999997,384.554
170.949,440.116,400.16999999999996
169.45999999999998,408.875,400.16999999999996
167.50099999999998,383.496,377.722
181.556,418.73299999999995,422.618
189.549,464.36400000000003,447.99399999999997
174.05400000000003,406.90999999999997,404.07399999999996
166.032,428.121,435.306
170.196,441.712,376.746
182.913,412.57000000000005,429.45
169.715,396.326,424.57
167.70800000000003,379.85900000000004,382.602
182.90300000000002,405.496,413.834
182.577,400.032,383.578
179.894,436.912,351.37
164.091,394.7339999999999,415.786
157.359,374.98400000000004,398.21799999999996
169.05399999999997,416.14099999999996,402.12199999999996
173.508,414.13,451.89799999999997
180.493,419.628,399.19399999999996
177.185,415.164,405.04999999999995
175.61100000000002,441.619,381.626
167.827,377.245,400.16999999999996
175.371,428.414,369.914
176.85200000000003,428.254,415.786
178.551,458.161,393.33799999999997
168.381,383.09899999999993,384.554
177.737,425.48,430.426
157.931,381.445,358.202
152.37800000000001,360.25,405.04999999999995
164.383,412.32399999999996,435.306
157.2,400.182,401.14599999999996
161.42700000000002,364.563,405.04999999999995
172.37400000000002,396.30400000000003,383.578
170.856,414.24199999999996,448.96999999999997
184.27800000000002,418.562,425.546
169.471,408.541,398.21799999999996
166.007,392.055,394.31399999999996
176.633,408.538,458.72999999999996
187.10500000000002,438.598,404.07399999999996
183.39300000000003,449.25800000000004,383.578
171.67200000000003,413.027,382.602
173.83,425.90999999999997,345.51399999999995
169.916,395.19,379.674
168.30800000000002,394.64599999999996,381.626
172.245,431.492,411.882
177.229,435.74699999999996,413.834
186.752,428.25600000000003,364.058
173.118,423.20700000000005,383.578
154.84,370.544,432.378
162.78300000000002,383.194,415.786
164.555,400.746,420.666
174.173,423.73699999999997,420.666
179.38,433.034,398.21799999999996
165.399,396.731,388.45799999999997
166.709,395.118,370.89
154.036,381.044,378.698
165.413,387.475,399.19399999999996
177.974,433.414,393.33799999999997
166.209,397.283,421.642
159.921,393.917,395.28999999999996
168.389,434.69800000000004,389.43399999999997
174.647,422.89700000000005,431.402
174.993,391.754,425.546
179.603,430.122,425.546
166.263,387.17699999999996,399.19399999999996
164.898,406.91499999999996,399.19399999999996
177.007,414.138,420.666
174.26,407.789,434.33
168.096,402.202,368.938
183.957,412.76800000000003,429.45
170.12900000000002,413.059,398.21799999999996
175.34400000000002,417.683,401.14599999999996
182.125,403.115,401.14599999999996
164.221,413.517,372.842
165.90300000000002,405.296,417.738
182.221,439.319,421.642
186.103,425.02299999999997,427.498
168.30400000000003,389.048,424.57
175.255,400.998,422.618
179.39600000000002,391.25199999999995,432.378
177.577,391.46799999999996,444.09
159.99099999999999,380.40700000000004,387.48199999999997
178.18900000000002,384.998,399.19399999999996
166.913,384.272,410.90599999999995
175.829,423.438,397.24199999999996
172.171,403.048,398.21799999999996
173.05,401.39300000000003,419.69
168.59300000000002,366.28000000000003,381.626
175.26,396.32599999999996,416.762
176.48000000000002,401.90999999999997,389.43399999999997
164.543,390.02,442.138
167.905,374.18600000000004,396.26599999999996
165.127,402.52599999999995,374.794
172.745,394.98299999999995,416.762
171.43900000000002,436.536,361.13
141.935,354.308,379.674
177.637,440.711,399.19399999999996
163.20600000000002,373.215,379.674
168.152,366.794,398.21799999999996
166.33100000000002,383.71799999999996,411.882
171.84000000000003,423.116,410.90599999999995
171.011,424.89,410.90599999999995
163.228,415.221,385.53
168.70600000000002,419.11400000000003,372.842
172.821,394.94999999999993,364.058
167.354,405.029,414.81
169.20600000000002,417.174,395.28999999999996
161.53300000000002,392.623,425.546
180.357,416.238,414.81
151.608,361.99499999999995,402.12199999999996
163.55700000000002,389.588,382.602
172.314,370.16200000000003,395.28999999999996
158.861,379.67199999999997,367.962
164.594,408.419,383.578
179.373,398.41299999999995,395.28999999999996
171.114,385.675,397.24199999999996
174.49200000000002,427.087,375.77
165.668,378.59000000000003,400.16999999999996
184.214,425.091,395.28999999999996
173.52800000000002,409.303,407.97799999999995
176.346,392.643,398.21799999999996
166.54399999999998,387.9309999999999,433.354
170.868,418.709,406.02599999999995
174.007,408.552,379.674
181.11400000000003,399.463,397.24199999999996
168.505,400.325,391.38599999999997
161.808,374.13599999999997,376.746
167.747,395.038,409.92999999999995
162.309,389.106,409.92999999999995
